scene,category,episode_id
Collierville,chair,102
Collierville,chair,12
Collierville,chair,2
Collierville,chair,20
Collierville,chair,3
Collierville,chair,50
Collierville,chair,65
Collierville,chair,75
Collierville,chair,76
Collierville,chair,89
Collierville,couch,13
Collierville,couch,17
Collierville,couch,21
Collierville,couch,27
Collierville,couch,45
Collierville,couch,48
Collierville,couch,49
Collierville,couch,53
Collierville,couch,54
Collierville,couch,6
Collierville,potted plant,16
Collierville,potted plant,19
Collierville,potted plant,24
Collierville,potted plant,26
Collierville,potted plant,28
Collierville,potted plant,30
Collierville,potted plant,33
Collierville,potted plant,41
Collierville,potted plant,46
Collierville,potted plant,7
Collierville,toilet,0
Collierville,toilet,1
Collierville,toilet,10
Collierville,toilet,23
Collierville,toilet,31
Collierville,toilet,32
Collierville,toilet,35
Collierville,toilet,36
Collierville,toilet,38
Collierville,toilet,8
Collierville,tv,11
Collierville,tv,14
Collierville,tv,15
Collierville,tv,18
Collierville,tv,22
Collierville,tv,25
Collierville,tv,29
Collierville,tv,4
Collierville,tv,5
Collierville,tv,9
Corozal,bed,0
Corozal,bed,13
Corozal,bed,16
Corozal,bed,24
Corozal,bed,33
Corozal,bed,34
Corozal,bed,37
Corozal,bed,38
Corozal,bed,40
Corozal,bed,41
Corozal,chair,107
Corozal,chair,112
Corozal,chair,118
Corozal,chair,15
Corozal,chair,21
Corozal,chair,5
Corozal,chair,55
Corozal,chair,59
Corozal,chair,82
Corozal,chair,97
Corozal,couch,11
Corozal,couch,14
Corozal,couch,18
Corozal,couch,2
Corozal,couch,22
Corozal,couch,49
Corozal,couch,52
Corozal,couch,54
Corozal,couch,60
Corozal,couch,7
Corozal,potted plant,10
Corozal,potted plant,12
Corozal,potted plant,17
Corozal,potted plant,20
Corozal,potted plant,25
Corozal,potted plant,27
Corozal,potted plant,30
Corozal,potted plant,32
Corozal,potted plant,35
Corozal,potted plant,8
Corozal,toilet,19
Corozal,toilet,23
Corozal,toilet,26
Corozal,toilet,3
Corozal,toilet,31
Corozal,toilet,36
Corozal,toilet,43
Corozal,toilet,47
Corozal,toilet,6
Corozal,toilet,62
Corozal,tv,1
Corozal,tv,28
Corozal,tv,29
Corozal,tv,39
Corozal,tv,4
Corozal,tv,42
Corozal,tv,44
Corozal,tv,53
Corozal,tv,57
Corozal,tv,9
Darden,bed,0
Darden,bed,1
Darden,bed,10
Darden,bed,23
Darden,bed,31
Darden,bed,32
Darden,bed,35
Darden,bed,36
Darden,bed,38
Darden,bed,8
Darden,chair,102
Darden,chair,12
Darden,chair,2
Darden,chair,20
Darden,chair,3
Darden,chair,50
Darden,chair,65
Darden,chair,75
Darden,chair,76
Darden,chair,89
Darden,couch,13
Darden,couch,17
Darden,couch,21
Darden,couch,27
Darden,couch,45
Darden,couch,48
Darden,couch,49
Darden,couch,53
Darden,couch,54
Darden,couch,6
Darden,potted plant,16
Darden,potted plant,19
Darden,potted plant,24
Darden,potted plant,26
Darden,potted plant,28
Darden,potted plant,30
Darden,potted plant,33
Darden,potted plant,41
Darden,potted plant,46
Darden,potted plant,7
Darden,toilet,11
Darden,toilet,14
Darden,toilet,15
Darden,toilet,18
Darden,toilet,22
Darden,toilet,25
Darden,toilet,29
Darden,toilet,4
Darden,toilet,5
Darden,toilet,9
Markleeville,bed,0
Markleeville,bed,1
Markleeville,bed,10
Markleeville,bed,23
Markleeville,bed,31
Markleeville,bed,32
Markleeville,bed,35
Markleeville,bed,36
Markleeville,bed,38
Markleeville,bed,8
Markleeville,chair,102
Markleeville,chair,12
Markleeville,chair,2
Markleeville,chair,20
Markleeville,chair,3
Markleeville,chair,50
Markleeville,chair,65
Markleeville,chair,75
Markleeville,chair,76
Markleeville,chair,89
Markleeville,couch,13
Markleeville,couch,17
Markleeville,couch,21
Markleeville,couch,27
Markleeville,couch,45
Markleeville,couch,48
Markleeville,couch,49
Markleeville,couch,53
Markleeville,couch,54
Markleeville,couch,6
Markleeville,potted plant,16
Markleeville,potted plant,19
Markleeville,potted plant,24
Markleeville,potted plant,26
Markleeville,potted plant,28
Markleeville,potted plant,30
Markleeville,potted plant,33
Markleeville,potted plant,41
Markleeville,potted plant,46
Markleeville,potted plant,7
Markleeville,toilet,11
Markleeville,toilet,14
Markleeville,toilet,15
Markleeville,toilet,18
Markleeville,toilet,22
Markleeville,toilet,25
Markleeville,toilet,29
Markleeville,toilet,4
Markleeville,toilet,5
Markleeville,toilet,9
Wiconisco,chair,17
Wiconisco,chair,18
Wiconisco,chair,24
Wiconisco,chair,28
Wiconisco,chair,32
Wiconisco,chair,38
Wiconisco,chair,4
Wiconisco,chair,44
Wiconisco,chair,6
Wiconisco,chair,7
Wiconisco,couch,10
Wiconisco,couch,12
Wiconisco,couch,15
Wiconisco,couch,2
Wiconisco,couch,21
Wiconisco,couch,25
Wiconisco,couch,27
Wiconisco,couch,3
Wiconisco,couch,5
Wiconisco,couch,8
Wiconisco,potted plant,1
Wiconisco,potted plant,11
Wiconisco,potted plant,13
Wiconisco,potted plant,19
Wiconisco,potted plant,29
Wiconisco,potted plant,30
Wiconisco,potted plant,33
Wiconisco,potted plant,34
Wiconisco,potted plant,37
Wiconisco,potted plant,9
Wiconisco,toilet,0
Wiconisco,toilet,14
Wiconisco,toilet,16
Wiconisco,toilet,20
Wiconisco,toilet,22
Wiconisco,toilet,23
Wiconisco,toilet,26
Wiconisco,toilet,31
Wiconisco,toilet,40
Wiconisco,toilet,41
